Book,Name,Ethnicity,Section,Count
1,Messala,Roman,Gaul,2
1,M. Piso,Roman,Gaul,2
1,L. Piso,Roman,Gaul,2
1,Gabinius,Roman,Gaul,1
1,Caesar,Roman,Gaul,108
1,L. Cassius,Roman,Gaul,3
1,Labienus,Roman,Gaul,7
1,P. Considius,Roman,Gaul,3
1,M. Crassus,Roman,Gaul,1
1,P. Crassus,Roman,Gaul,1
2,Caesar,Roman,Gaul,42
2,Labienus,Roman,Gaul,3
2,Sabinus,Roman,Gaul,3
2,Cotta,Roman,Gaul,1
2,Baculus,Roman,Gaul,1
2,P. Crassus,Roman,Gaul,1
3,Caesar,Roman,Gaul,18
3,S. Galba,Roman,Gaul,5
3,Baculus,Roman,Gaul,1
3,C. Volusenus,Roman,Gaul,1
3,P. Crassus,Roman,Gaul,16
3,Labienus,Roman,Gaul,1
3,Sabinus,Roman,Gaul,10
3,D. Brutus,Roman,Gaul,2
4,Pompey,Roman,Gaul,1
4,M. Crassus,Roman,Gaul,1
4,Caesar,Roman,Gaul,50
4,C. Volusenus,Roman,Gaul,3
4,Sabinus,Roman,Gaul,2
4,Cotta,Roman,Gaul,2
4,Labienus,Roman,Gaul,2
5,Caesar,Roman,Gaul,73
5,Labienus,Roman,Gaul,16
5,C. Trebonius,Roman,Gaul,2
5,C. Fabius,Roman,Gaul,4
5,Q. Cicero,Roman,Gaul,19
5,M. Crassus,Roman,Gaul,5
6,Caesar,Roman,Gaul,33
6,Pompey,Roman,Gaul,2
6,Labienus,Roman,Gaul,10
6,C. Fabius,Roman,Gaul,1
6,M. Crassus,Roman,Gaul,1
6,Q. Cicero,Roman,Gaul,2
6,C. Trebonius,Roman,Gaul,3
7,Caesar,Roman,Gaul,92
7,Pompey,Roman,Gaul,1
7,D. Brutus,Roman,Gaul,2
7,C. Trebonius,Roman,Gaul,2
7,Labienus,Roman,Gaul,15
7,C. Fabius,Roman,Gaul,5
7,Petreius. Elder,Roman,Gaul,1
7,Marcus. Antonius,Roman,Gaul,1
7,G. Caninius,Roman,Gaul,2
7,Q. Cicero,Roman,Gaul,1
8,Caesar,Roman,Gaul,69
8,Marcus. Antonius,Roman,Gaul,12
8,C. Trebonius,Roman,Gaul,6
8,C. Fabius,Roman,Gaul,11
8,Labienus,Roman,Gaul,7
8,C. Volusenus,Roman,Gaul,5
8,G. Caninius,Roman,Gaul,15
8,M. Crassus,Roman,Gaul,2
8,C. Marcellus,Roman,Gaul,5
8,C. Curio,Roman,Gaul,1
8,Pompey,Roman,Gaul,7
11,Caesar,Roman,Civil,199
11,Pompey,Roman,Civil,177
11,Lentulus,Roman,Civil,8
11,Marcus. Antonius,Roman,Civil,15
11,Scipio,Roman,Civil,34
11,Gabinius,Roman,Civil,4
11,C. Marcellus,Roman,Civil,1
11,M. Bibilus,Roman,Civil,14
11,V. Rufus,Roman,Civil,1
11,C. Curio,Roman,Civil,1
11,Labienus,Roman,Civil,6
11,M. Varro,Roman,Civil,1
11,C. Trebonius,Roman,Civil,3
11,M. Crassus,Roman,Civil,1
11,C.  Longinus,Roman,Civil,3
11,Petreius. Younger,Roman,Civil,1
11,Afranius,Roman,Civil,2
9,Caesar,Roman,Civil,167
9,Lentulus,Roman,Civil,12
9,Scipio,Roman,Civil,7
9,Pompey,Roman,Civil,76
9,C. Marcellus,Roman,Civil,5
9,Marcus. Antonius,Roman,Civil,6
9,L. Piso,Roman,Civil,1
9,Cato,Roman,Civil,5
9,C. Curio,Roman,Civil,6
9,Labienus,Roman,Civil,1
9,V. Rufus,Roman,Civil,4
9,G. Caninius,Roman,Civil,2
9,D. Brutus,Roman,Civil,3
9,C. Trebonius,Roman,Civil,1
9,C. Fabius,Roman,Civil,7
9,Afranius,Roman,Civil,52
9,Petreius. Younger,Roman,Civil,20
9,M. Varro,Roman,Civil,2
10,C. Trebonius,Roman,Civil,6
10,Caesar,Roman,Civil,41
10,Pompey,Roman,Civil,6
10,C. Curio,Roman,Civil,44
10,D. Brutus,Roman,Civil,6
10,M. Varro,Roman,Civil,12
10,Petreius. Younger,Roman,Civil,2
10,Afranius,Roman,Civil,4
10,G. Caninius,Roman,Civil,1
