Label,Description,Count
1,Messala,2
1,M. Piso,2
1,L. Piso,2
1,Gabinius,1
1,Caesar,108
1,L. Cassius,3
1,Labienus,7
1,P. Considius,3
1,M. Crassus,1
1,P. Crassus,1
2,Caesar,42
2,Labienus,3
2,Sabinus,3
2,Cotta,1
2,Baculus,1
2,P. Crassus,1
3,Caesar,18
3,S. Galba,5
3,Baculus,1
3,C. Volusenus,1
3,P. Crassus,16
3,Labienus,1
3,Sabinus,10
3,D. Brutus,2
4,Pompey,1
4,M. Crassus,1
4,Caesar,50
4,C. Volusenus,3
4,Sabinus,2
4,Cotta,2
4,Labienus,2
5,Caesar,73
5,Labienus,16
5,C. Trebonius,2
5,C. Fabius,4
5,Q. Cicero,19
5,M. Crassus,5
6,Caesar,33
6,Pompey,2
6,Labienus,10
6,C. Fabius,1
6,M. Crassus,1
6,Q. Cicero,2
6,C. Trebonius,3
7,Caesar,92
7,Pompey,1
7,D. Brutus,2
7,C. Trebonius,2
7,Labienus,15
7,C. Fabius,5
7,Petreius. Elder,1
7,Marcus. Antonius,1
7,G. Caninius,2
7,Q. Cicero,1
8,Caesar,69
8,Marcus. Antonius,12
8,C. Trebonius,6
8,C. Fabius,11
8,Labienus,7
8,C. Volusenus,5
8,G. Caninius,15
8,M. Crassus,2
8,C. Marcellus,5
8,C. Curio,1
8,Pompey,7
11,Caesar,199
11,Pompey,177
11,Lentulus,8
11,Marcus. Antonius,15
11,Scipio,34
11,Gabinius,4
11,C. Marcellus,1
11,M. Bibilus,14
11,V. Rufus,1
11,C. Curio,1
11,Labienus,6
11,M. Varro,1
11,C. Trebonius,3
11,M. Crassus,1
11,C.  Longinus,3
11,Petreius. Younger,1
11,Afranius,2
9,Caesar,167
9,Lentulus,12
9,Scipio,7
9,Pompey,76
9,C. Marcellus,5
9,Marcus. Antonius,6
9,L. Piso,1
9,Cato,5
9,C. Curio,6
9,Labienus,1
9,V. Rufus,4
9,G. Caninius,2
9,D. Brutus,3
9,C. Trebonius,1
9,C. Fabius,7
9,Afranius,52
9,Petreius. Younger,20
9,M. Varro,2
10,C. Trebonius,6
10,Caesar,41
10,Pompey,6
10,C. Curio,44
10,D. Brutus,6
10,M. Varro,12
10,Petreius. Younger,2
10,Afranius,4
10,G. Caninius,1
