, Messala, Roman, 2Civil, 
 , M. Piso, Roman, 2Civil, 
 , L. Piso, Roman, 3Civil, 
 , Gabinius, Roman, 5Civil, 
 , Caesar, Roman, 892Civil, 
 , L. Cassius, Roman, 3Civil, 
 , Labienus, Roman, 68Civil, 
 , P. Considius, Roman, 3Civil, 
 , M. Crassus, Roman, 11Civil, 
 , P. Crassus, Roman, 18Civil, 
 , Sabinus, Roman, 15Civil, 
 , Cotta, Roman, 3Civil, 
 , Baculus, Roman, 2Civil, 
 , S. Galba, Roman, 5Civil, 
 , C. Volusenus, Roman, 9Civil, 
 , D. Brutus, Roman, 13Civil, 
 , Pompey, Roman, 270Civil, 
 , C. Trebonius, Roman, 23Civil, 
 , C. Fabius, Roman, 28Civil, 
 , Q. Cicero, Roman, 22Civil, 
 , Petreius. Elder, Roman, 1Civil, 
 , Marcus. Antonius, Roman, 34Civil, 
 , G. Caninius, Roman, 20Civil, 
 , C. Marcellus, Roman, 11Civil, 
 , C. Curio, Roman, 52Civil, 
 , Lentulus, Roman, 20Civil, 
 , Scipio, Roman, 41Civil, 
 , Cato, Roman, 5Civil, 
 , V. Rufus, Roman, 5Civil, 
 , Afranius, Roman, 58Civil, 
 , Petreius. Younger, Roman, 23Civil, 
 , M. Varro, Roman, 15Civil, 
 , M. Bibilus, Roman, 14Civil, 
 , C.  Longinus, Roman, 3Civil, 
